r1,r2,ang,level,atom_index,atom,Qxx,Qyy,Qzz,Qxy,Qxz,Qyz
1.0,1.053,120.0,mp2,1,O,-4.05046461,0.0,-0.0,-4.04053741,0.02105582,-4.21181808
1.0,1.053,120.0,mp2,2,O,-4.25647595,-0.0,0.0,-4.29303348,0.05119162,-4.2907262
1.021,1.053,120.0,hf,0,C,-2.24496173,0.0,-0.0,-2.33256146,0.15383123,-2.51377393
1.021,1.053,120.0,hf,1,O,-4.09834555,-0.0,-0.0,-4.08457345,0.02284474,-4.23905704
1.021,1.053,120.0,hf,2,O,-4.22091482,-0.0,-0.0,-4.26442318,0.05825561,-4.25519286
1.021,1.053,120.0,mp2,0,C,-2.24496173,0.0,-0.0,-2.33256146,0.15383123,-2.51377393
1.021,1.053,120.0,mp2,1,O,-4.09834555,-0.0,-0.0,-4.08457345,0.02284474,-4.23905704
1.021,1.053,120.0,mp2,2,O,-4.22091482,-0.0,-0.0,-4.26442318,0.05825561,-4.25519286
1.0,1.079,120.0,hf,0,C,-2.25254038,-0.0,-0.0,-2.33847689,0.15170348,-2.52308014
1.0,1.079,120.0,hf,1,O,-4.01100266,-0.0,-0.0,-3.99648698,0.02123353,-4.18206212
1.0,1.079,120.0,hf,2,O,-4.31160162,-0.0,0.0,-4.32181112,0.04156069,-4.33596827
1.0,1.079,120.0,mp2,0,C,-2.25254038,-0.0,-0.0,-2.33847689,0.15170348,-2.52308014
1.0,1.079,120.0,mp2,1,O,-4.01100266,-0.0,-0.0,-3.99648698,0.02123353,-4.18206212
1.0,1.079,120.0,mp2,2,O,-4.31160162,-0.0,0.0,-4.32181112,0.04156069,-4.33596827
1.021,1.079,120.0,hf,0,C,-2.2861845,0.0,-0.0,-2.37293165,0.1551853,-2.56024884
1.021,1.079,120.0,hf,1,O,-4.05853871,0.0,-0.0,-4.04036904,0.02311947,-4.20976386
1.021,1.079,120.0,hf,2,O,-4.27611803,-0.0,-0.0,-4.29384946,0.04894069,-4.30108255
1.021,1.079,120.0,mp2,0,C,-2.2861845,0.0,-0.0,-2.37293165,0.1551853,-2.56024884
1.021,1.079,120.0,mp2,1,O,-4.05853871,0.0,-0.0,-4.04036904,0.02311947,-4.20976386
1.021,1.079,120.0,mp2,2,O,-4.27611803,-0.0,-0.0,-4.29384946,0.04894069,-4.30108255
1.0,1.105,120.0,hf,0,C,-2.29371449,-0.0,0.0,-2.37853188,0.15206985,-2.56975087
1.0,1.105,120.0,hf,1,O,-3.97342766,-0.0,-0.0,-3.95508556,0.02136443,-4.15335175
1.0,1.105,120.0,hf,2,O,-4.36416032,-0.0,0.0,-4.34685246,0.03157263,-4.37853841
1.0,1.105,120.0,mp2,0,C,-2.29371449,-0.0,0.0,-2.37853188,0.15206985,-2.56975087
1.0,1.105,120.0,mp2,1,O,-3.97342766,-0.0,-0.0,-3.95508556,0.02136443,-4.15335175
1.0,1.105,120.0,mp2,2,O,-4.36416032,-0.0,0.0,-4.34685246,0.03157263,-4.37853841
1.021,1.105,120.0,hf,0,C,-2.32696389,-0.0,0.0,-2.41268143,0.15580695,-2.60677073
1.021,1.105,120.0,hf,1,O,-4.02066144,0.0,0.0,-3.99880514,0.02330969,-4.18151301
1.021,1.105,120.0,hf,2,O,-4.32898181,-0.0,0.0,-4.31973992,0.03925076,-4.34449201
1.021,1.105,120.0,mp2,0,C,-2.32696389,-0.0,0.0,-2.41268143,0.15580695,-2.60677073
1.021,1.105,120.0,mp2,1,O,-4.02066144,0.0,0.0,-3.99880514,0.02330969,-4.18151301
1.021,1.105,120.0,mp2,2,O,-4.32898181,-0.0,0.0,-4.31973992,0.03925076,-4.34449201
1.0,1.132,120.0,hf,0,C,-2.33616188,0.0,-0.0,-2.41969812,0.15169191,-2.6186006
1.0,1.132,120.0,hf,1,O,-3.9364084,-0.0,0.0,-3.91489102,0.02143698,-4.12473281
1.0,1.132,120.0,hf,2,O,-4.41586645,-0.0,-0.0,-4.36879163,0.02086003,-4.41984016
1.0,1.132,120.0,mp2,0,C,-2.33616188,0.0,-0.0,-2.41969812,0.15169191,-2.6186006
1.0,1.132,120.0,mp2,1,O,-3.9364084,-0.0,0.0,-3.91489102,0.02143698,-4.12473281
1.0,1.132,120.0,mp2,2,O,-4.41586645,-0.0,-0.0,-4.36879163,0.02086003,-4.41984016
1.021,1.132,120.0,hf,0,C,-2.36908703,0.0,-0.0,-2.45363875,0.15573279,-2.65556887
1.021,1.132,120.0,hf,1,O,-3.98322163,0.0,-0.0,-3.9582921,0.02343505,-4.15319898
1.021,1.132,120.0,hf,2,O,-4.38108886,0.0,0.0,-4.3425569,0.02883082,-4.3867294
1.021,1.132,120.0,mp2,0,C,-2.36908703,0.0,-0.0,-2.45363875,0.15573279,-2.65556887
1.021,1.132,120.0,mp2,1,O,-3.98322163,0.0,-0.0,-3.9582921,0.02343505,-4.15319898
1.021,1.132,120.0,mp2,2,O,-4.38108886,0.0,0.0,-4.3425569,0.02883082,-4.3867294
1.0,1.158,120.0,hf,0,C,-2.37696662,0.0,0.0,-2.45925961,0.15065943,-2.66639338
1.0,1.158,120.0,hf,1,O,-3.90253093,-0.0,-0.0,-3.87868967,0.02145398,-4.09822318
1.0,1.158,120.0,hf,2,O,-4.46259545,-0.0,0.0,-4.38572245,0.01024608,-4.45663544
1.0,1.158,120.0,mp2,0,C,-2.37696662,0.0,0.0,-2.45925961,0.15065943,-2.66639338
1.0,1.158,120.0,mp2,1,O,-3.90253093,-0.0,-0.0,-3.87868967,0.02145398,-4.09822318
1.0,1.158,120.0,mp2,2,O,-4.46259545,-0.0,0.0,-4.38572245,0.01024608,-4.45663544
1.0,1.184,120.0,hf,0,C,-2.41761624,-0.0,0.0,-2.49871257,0.14894238,-2.71488177
1.0,1.184,120.0,hf,1,O,-3.87040563,-0.0,0.0,-3.84493164,0.02140507,-4.07282128
1.0,1.184,120.0,hf,2,O,-4.50616261,0.0,-0.0,-4.3984496,-0.00063504,-4.4904348
1.0,1.184,120.0,mp2,0,C,-2.41761624,-0.0,0.0,-2.49871257,0.14894238,-2.71488177
1.0,1.184,120.0,mp2,1,O,-3.87040563,-0.0,0.0,-3.84493164,0.02140507,-4.07282128
1.0,1.184,120.0,mp2,2,O,-4.50616261,0.0,-0.0,-4.3984496,-0.00063504,-4.4904348
1.0,1.211,120.0,hf,0,C,-2.45992166,0.0,-0.0,-2.5399132,0.14649431,-2.76640487
1.0,1.211,120.0,hf,1,O,-3.83874718,0.0,0.0,-3.81227249,0.02129724,-4.0475111
1.0,1.211,120.0,hf,2,O,-4.5477161,-0.0,-0.0,-4.40692336,-0.01218592,-4.522138
1.0,1.211,120.0,mp2,0,C,-2.45992166,0.0,-0.0,-2.5399132,0.14649431,-2.76640487
1.0,1.211,120.0,mp2,1,O,-3.83874718,0.0,0.0,-3.81227249,0.02129724,-4.0475111
1.0,1.211,120.0,mp2,2,O,-4.5477161,-0.0,-0.0,-4.40692336,-0.01218592,-4.522138
1.0,1.237,120.0,hf,0,C,-2.50072582,-0.0,0.0,-2.57984748,0.1434937,-2.81715185
1.0,1.237,120.0,hf,1,O,-3.80989836,-0.0,-0.0,-3.78306625,0.02112879,-4.0242096
1.0,1.237,120.0,hf,2,O,-4.58399411,-0.0,0.0,-4.41043939,-0.02353777,-4.54931125
1.0,1.237,120.0,mp2,0,C,-2.50072582,-0.0,0.0,-2.57984748,0.1434937,-2.81715185
1.0,1.237,120.0,mp2,1,O,-3.80989836,-0.0,-0.0,-3.78306625,0.02112879,-4.0242096
1.0,1.237,120.0,mp2,2,O,-4.58399411,-0.0,0.0,-4.41043939,-0.02353777,-4.54931125
1.0,1.263,120.0,hf,0,C,-2.54156161,0.0,0.0,-2.62004326,0.13987652,-2.86894751
1.0,1.263,120.0,hf,1,O,-3.78265839,-0.0,0.0,-3.75598295,0.02088917,-4.00198944
1.0,1.263,120.0,hf,2,O,-4.61645956,0.0,-0.0,-4.40936784,-0.03511911,-4.57313399
1.0,1.263,120.0,mp2,0,C,-2.54156161,0.0,0.0,-2.62004326,0.13987652,-2.86894751
1.0,1.263,120.0,mp2,1,O,-3.78265839,-0.0,0.0,-3.75598295,0.02088917,-4.00198944
1.0,1.263,120.0,mp2,2,O,-4.61645956,0.0,-0.0,-4.40936784,-0.03511911,-4.57313399
1.0,1.289,120.0,hf,0,C,-2.58264151,0.0,0.0,-2.66075233,0.13571463,-2.92208079
1.0,1.289,120.0,hf,1,O,-3.75691995,-0.0,-0.0,-3.73084884,0.02059122,-3.9807719
1.0,1.289,120.0,hf,2,O,-4.64486706,0.0,0.0,-4.40357314,-0.04691999,-4.59344853
1.0,1.289,120.0,mp2,0,C,-2.58264151,0.0,0.0,-2.66075233,0.13571463,-2.92208079
1.0,1.289,120.0,mp2,1,O,-3.75691995,-0.0,-0.0,-3.73084884,0.02059122,-3.9807719
1.0,1.289,120.0,mp2,2,O,-4.64486706,0.0,0.0,-4.40357314,-0.04691999,-4.59344853
1.0,1.316,120.0,hf,0,C,-2.62548521,0.0,0.0,-2.70348251,0.13083224,-2.97852099
1.0,1.316,120.0,hf,1,O,-3.73181574,0.0,-0.0,-3.70676183,0.02021688,-3.95986311
1.0,1.316,120.0,hf,2,O,-4.67000233,0.0,0.0,-4.39266476,-0.05940587,-4.61081262
1.0,1.316,120.0,mp2,0,C,-2.62548521,0.0,0.0,-2.70348251,0.13083224,-2.97852099
1.0,1.316,120.0,mp2,1,O,-3.73181574,0.0,-0.0,-3.70676183,0.02021688,-3.95986311
1.0,1.316,120.0,mp2,2,O,-4.67000233,0.0,0.0,-4.39266476,-0.05940587,-4.61081262
1.0,1.342,120.0,hf,0,C,-2.666831,-0.0,-0.0,-2.74494268,0.12561711,-3.03389122
1.0,1.342,120.0,hf,1,O,-3.70924159,-0.0,0.0,-3.6854598,0.01979474,-3.94087008
1.0,1.342,120.0,hf,2,O,-4.69000258,0.0,-0.0,-4.37764003,-0.0716482,-4.62396373
1.0,1.342,120.0,mp2,0,C,-2.666831,-0.0,-0.0,-2.74494268,0.12561711,-3.03389122
1.0,1.342,120.0,mp2,1,O,-3.70924159,-0.0,0.0,-3.6854598,0.01979474,-3.94087008
1.0,1.342,120.0,mp2,2,O,-4.69000258,0.0,-0.0,-4.37764003,-0.0716482,-4.62396373
1.0,1.368,120.0,hf,0,C,-2.70842402,0.0,-0.0,-2.78684668,0.12000377,-3.09040537
1.0,1.368,120.0,hf,1,O,-3.68813508,0.0,-0.0,-3.66583887,0.01933107,-3.92292166
1.0,1.368,120.0,hf,2,O,-4.70582129,-0.0,-0.0,-4.35829898,-0.08408687,-4.63358106
1.0,1.368,120.0,mp2,0,C,-2.70842402,0.0,-0.0,-2.78684668,0.12000377,-3.09040537
1.0,1.368,120.0,mp2,1,O,-3.68813508,0.0,-0.0,-3.66583887,0.01933107,-3.92292166
1.0,1.368,120.0,mp2,2,O,-4.70582129,-0.0,-0.0,-4.35829898,-0.08408687,-4.63358106
1.0,1.395,120.0,hf,0,C,-2.75171508,0.0,0.0,-2.83058882,0.11379557,-3.14996619
1.0,1.395,120.0,hf,1,O,-3.6678099,-0.0,0.0,-3.64720439,0.01880945,-3.90545426
1.0,1.395,120.0,hf,2,O,-4.71799972,-0.0,-0.0,-4.33404926,-0.09719079,-4.63997356
1.0,1.395,120.0,mp2,0,C,-2.75171508,0.0,0.0,-2.83058882,0.11379557,-3.14996619
1.0,1.395,120.0,mp2,1,O,-3.6678099,-0.0,0.0,-3.64720439,0.01880945,-3.90545426
1.0,1.395,120.0,mp2,2,O,-4.71799972,-0.0,-0.0,-4.33404926,-0.09719079,-4.63997356
1.0,1.421,120.0,hf,0,C,-2.79342168,0.0,-0.0,-2.87278117,0.10752678,-3.20795283
1.0,1.421,120.0,hf,1,O,-3.64974837,0.0,-0.0,-3.63084899,0.01828041,-3.8897679
1.0,1.421,120.0,hf,2,O,-4.72583157,-0.0,0.0,-4.30708856,-0.10995364,-4.64282248
1.0,1.421,120.0,mp2,0,C,-2.79342168,0.0,-0.0,-2.87278117,0.10752678,-3.20795283
1.0,1.421,120.0,mp2,1,O,-3.64974837,0.0,-0.0,-3.63084899,0.01828041,-3.8897679
1.0,1.421,120.0,mp2,2,O,-4.72583157,-0.0,0.0,-4.30708856,-0.10995364,-4.64282248
1.0,1.447,120.0,hf,0,C,-2.83505481,0.0,0.0,-2.91487758,0.10105038,-3.26633262
1.0,1.447,120.0,hf,1,O,-3.63313071,-0.0,-0.0,-3.61596142,0.01773643,-3.87518835
1.0,1.447,120.0,hf,2,O,-4.73010311,0.0,0.0,-4.27703569,-0.12281129,-4.64263059
1.0,1.447,120.0,mp2,0,C,-2.83505481,0.0,0.0,-2.91487758,0.10105038,-3.26633262
1.0,1.447,120.0,mp2,1,O,-3.63313071,-0.0,-0.0,-3.61596142,0.01773643,-3.87518835
1.0,1.447,120.0,mp2,2,O,-4.73010311,0.0,0.0,-4.27703569,-0.12281129,-4.64263059
1.0,1.474,120.0,hf,0,C,-2.87800745,0.0,-0.0,-2.95819975,0.09416279,-3.32699222
1.0,1.474,120.0,hf,1,O,-3.61739786,0.0,0.0,-3.60200444,0.01716328,-3.86124781
1.0,1.474,120.0,hf,2,O,-4.7311425,-0.0,0.0,-4.24310802,-0.13620498,-4.6395055
1.0,1.474,120.0,mp2,0,C,-2.87800745,0.0,-0.0,-2.95819975,0.09416279,-3.32699222
1.0,1.474,120.0,mp2,1,O,-3.61739786,0.0,0.0,-3.60200444,0.01716328,-3.86124781
1.0,1.474,120.0,mp2,2,O,-4.7311425,-0.0,0.0,-4.24310802,-0.13620498,-4.6395055
1.0,1.5,120.0,hf,0,C,-2.9191686,-0.0,-0.0,-2.99957884,0.08750318,-3.38546178
1.0,1.5,120.0,hf,1,O,-3.60354525,0.0,-0.0,-3.58981358,0.01662175,-3.84885578
1.0,1.5,120.0,hf,2,O,-4.72915037,0.0,0.0,-4.20821186,-0.14907619,-4.63389942
1.0,1.5,120.0,mp2,0,C,-2.9191686,-0.0,-0.0,-2.99957884,0.08750318,-3.38546178
1.0,1.5,120.0,mp2,1,O,-3.60354525,0.0,-0.0,-3.58981358,0.01662175,-3.84885578
1.0,1.5,120.0,mp2,2,O,-4.72915037,0.0,0.0,-4.20821186,-0.14907619,-4.63389942
1.0,1.0,123.158,hf,0,C,-2.10841068,0.0,0.0,-2.18534779,0.13531256,-2.36215636
1.0,1.0,123.158,hf,1,O,-4.14045099,-0.0,-0.0,-4.13789937,0.01465391,-4.27095407
1.0,1.0,123.158,hf,2,O,-4.14044887,0.0,-0.0,-4.21773142,0.06680961,-4.19112648
1.0,1.0,123.158,mp2,0,C,-2.10841068,0.0,0.0,-2.18534779,0.13531256,-2.36215636
1.0,1.0,123.158,mp2,1,O,-4.14045099,-0.0,-0.0,-4.13789937,0.01465391,-4.27095407
1.0,1.0,123.158,mp2,2,O,-4.14044887,0.0,-0.0,-4.21773142,0.06680961,-4.19112648
1.021,1.0,123.158,hf,0,C,-2.14248501,0.0,-0.0,-2.22034787,0.13816958,-2.39862263
1.021,1.0,123.158,hf,1,O,-4.18823496,0.0,0.0,-4.18163218,0.01605521,-4.29644941
1.021,1.0,123.158,hf,2,O,-4.10601421,0.0,-0.0,-4.18842969,0.07331145,-4.15745448
1.021,1.0,123.158,mp2,0,C,-2.14248501,0.0,-0.0,-2.22034787,0.13816958,-2.39862263
1.021,1.0,123.158,mp2,1,O,-4.18823496,0.0,0.0,-4.18163218,0.01605521,-4.29644941
1.021,1.0,123.158,mp2,2,O,-4.10601421,0.0,-0.0,-4.18842969,0.07331145,-4.15745448
1.0,1.026,123.158,hf,0,C,-2.15053851,0.0,0.0,-2.22663346,0.13750253,-2.40922751
1.0,1.026,123.158,hf,1,O,-4.09800795,0.0,0.0,-4.09070609,0.01540079,-4.2405235
1.0,1.026,123.158,hf,2,O,-4.1994308,0.0,-0.0,-4.2541861,0.05712787,-4.23990649
1.0,1.026,123.158,mp2,0,C,-2.15053851,0.0,0.0,-2.22663346,0.13750253,-2.40922751
1.0,1.026,123.158,mp2,1,O,-4.09800795,0.0,0.0,-4.09070609,0.01540079,-4.2405235
1.0,1.026,123.158,mp2,2,O,-4.1994308,0.0,-0.0,-4.2541861,0.05712787,-4.23990649
1.021,1.026,123.158,hf,0,C,-2.18448654,-0.0,-0.0,-2.26154527,0.14058008,-2.44589033
1.021,1.026,123.158,hf,1,O,-4.14560524,0.0,-0.0,-4.13450539,0.0169012,-4.26666591
1.021,1.026,123.158,hf,2,O,-4.16482689,-0.0,-0.0,-4.22528464,0.06393445,-4.20658757
1.021,1.026,123.158,mp2,0,C,-2.18448654,-0.0,-0.0,-2.26154527,0.14058008,-2.44589033
1.021,1.026,123.158,mp2,1,O,-4.14560524,0.0,-0.0,-4.13450539,0.0169012,-4.26666591
1.021,1.026,123.158,mp2,2,O,-4.16482689,-0.0,-0.0,-4.22528464,0.06393445,-4.20658757
1.0,1.053,123.158,hf,0,C,-2.19365924,-0.0,-0.0,-2.26866022,0.13909097,-2.45768558
1.0,1.053,123.158,hf,1,O,-4.05601663,0.0,-0.0,-4.04443162,0.01607615,-4.20999205
1.0,1.053,123.158,hf,2,O,-4.25862596,-0.0,-0.0,-4.28891816,0.04665412,-4.28830574
1.0,1.053,123.158,mp2,0,C,-2.19365924,-0.0,-0.0,-2.26866022,0.13909097,-2.45768558
1.0,1.053,123.158,mp2,1,O,-4.05601663,0.0,-0.0,-4.04443162,0.01607615,-4.20999205
1.0,1.053,123.158,mp2,2,O,-4.25862596,-0.0,-0.0,-4.28891816,0.04665412,-4.28830574
1.021,1.053,123.158,hf,0,C,-2.22747457,-0.0,-0.0,-2.30349727,0.14241097,-2.49455297
1.021,1.053,123.158,hf,1,O,-4.10333625,-0.0,0.0,-4.0881697,0.01766651,-4.23667936
1.021,1.053,123.158,hf,2,O,-4.22395245,-0.0,-0.0,-4.26050234,0.05376478,-4.25544943
1.021,1.053,123.158,mp2,0,C,-2.22747457,-0.0,-0.0,-2.30349727,0.14241097,-2.49455297
1.021,1.053,123.158,mp2,1,O,-4.10333625,-0.0,0.0,-4.0881697,0.01766651,-4.23667936
1.021,1.053,123.158,mp2,2,O,-4.22395245,-0.0,-0.0,-4.26050234,0.05376478,-4.25544943
1.0,1.079,123.158,hf,0,C,-2.2347214,0.0,-0.0,-2.30851456,0.1399785,-2.50421275
1.0,1.079,123.158,hf,1,O,-4.01749868,0.0,0.0,-4.00242321,0.01663889,-4.18159934
1.0,1.079,123.158,hf,2,O,-4.3134233,0.0,-0.0,-4.31911376,0.03619393,-4.33257971
1.0,1.079,123.158,mp2,0,C,-2.2347214,0.0,-0.0,-2.30851456,0.1399785,-2.50421275
1.0,1.079,123.158,mp2,1,O,-4.01749868,0.0,0.0,-4.00242321,0.01663889,-4.18159934
1.0,1.079,123.158,mp2,2,O,-4.3134233,0.0,-0.0,-4.31911376,0.03619393,-4.33257971
1.021,1.079,123.158,hf,0,C,-2.26842863,-0.0,-0.0,-2.34331459,0.14354978,-2.54130926
1.021,1.079,123.158,hf,1,O,-4.06447115,-0.0,0.0,-4.04598511,0.01830634,-4.2086841
1.021,1.079,123.158,hf,2,O,-4.27877479,-0.0,-0.0,-4.2912084,0.04358279,-4.30024486
1.021,1.079,123.158,mp2,0,C,-2.26842863,-0.0,-0.0,-2.34331459,0.14354978,-2.54130926
1.021,1.079,123.158,mp2,1,O,-4.06447115,-0.0,0.0,-4.04598511,0.01830634,-4.2086841
1.021,1.079,123.158,mp2,2,O,-4.27877479,-0.0,-0.0,-4.2912084,0.04358279,-4.30024486
1.0,1.105,123.158,hf,0,C,-2.27550222,0.0,-0.0,-2.34800218,0.14026325,-2.55092077
1.0,1.105,123.158,hf,1,O,-3.98075277,0.0,-0.0,-3.9628072,0.01712536,-4.15414544
1.0,1.105,123.158,hf,2,O,-4.36581002,-0.0,0.0,-4.34586119,0.02539249,-4.37439336
1.0,1.105,123.158,mp2,0,C,-2.27550222,0.0,-0.0,-2.34800218,0.14026325,-2.55092077
1.0,1.105,123.158,mp2,1,O,-3.98075277,0.0,-0.0,-3.9628072,0.01712536,-4.15414544
1.0,1.105,123.158,mp2,2,O,-4.36581002,-0.0,0.0,-4.34586119,0.02539249,-4.37439336
1.021,1.105,123.158,hf,0,C,-2.30888772,-0.0,-0.0,-2.38254044,0.14404616,-2.58794845
1.021,1.105,123.158,hf,1,O,-4.02742519,-0.0,-0.0,-4.00620716,0.01883999,-4.18164892
1.021,1.105,123.158,hf,2,O,-4.33139419,-0.0,0.0,-4.3186534,0.03304721,-4.34274776
1.021,1.105,123.158,mp2,0,C,-2.30888772,-0.0,-0.0,-2.38254044,0.14404616,-2.58794845
1.021,1.105,123.158,mp2,1,O,-4.02742519,-0.0,-0.0,-4.00620716,0.01883999,-4.18164892
1.021,1.105,123.158,mp2,2,O,-4.33139419,-0.0,0.0,-4.3186534,0.03304721,-4.34274776
1.0,1.132,123.158,hf,0,C,-2.31749615,-0.0,-0.0,-2.38860006,0.13988356,-2.5996254
1.0,1.132,123.158,hf,1,O,-3.94447449,-0.0,0.0,-3.92420596,0.01753857,-4.12671777
1.0,1.132,123.158,hf,2,O,-4.41749931,-0.0,0.0,-4.36985769,0.01384852,-4.415108
1.0,1.132,123.158,mp2,0,C,-2.31749615,-0.0,-0.0,-2.38860006,0.13988356,-2.5996254
1.0,1.132,123.158,mp2,1,O,-3.94447449,-0.0,0.0,-3.92420596,0.01753857,-4.12671777
1.0,1.132,123.158,mp2,2,O,-4.41749931,-0.0,0.0,-4.36985769,0.01384852,-4.415108
1.021,1.132,123.158,hf,0,C,-2.35062289,-0.0,0.0,-2.42295274,0.14391423,-2.63670025
1.021,1.132,123.158,hf,1,O,-3.99074401,-0.0,0.0,-3.96732727,0.01930006,-4.15450724
1.021,1.132,123.158,hf,2,O,-4.38339355,0.0,-0.0,-4.34335782,0.02176171,-4.38421796
1.021,1.132,123.158,mp2,0,C,-2.35062289,-0.0,0.0,-2.42295274,0.14391423,-2.63670025
1.021,1.132,123.158,mp2,1,O,-3.99074401,-0.0,0.0,-3.96732727,0.01930006,-4.15450724
1.021,1.132,123.158,mp2,2,O,-4.38339355,0.0,-0.0,-4.34335782,0.02176171,-4.38421796
1.0,1.158,123.158,hf,0,C,-2.35781746,0.0,-0.0,-2.42762889,0.13892299,-2.64708949
1.0,1.158,123.158,hf,1,O,-3.91120258,-0.0,-0.0,-3.88928983,0.01785715,-4.10123899
1.0,1.158,123.158,hf,2,O,-4.46437837,-0.0,0.0,-4.38904745,0.00242752,-4.45152964
1.0,1.158,123.158,mp2,0,C,-2.35781746,0.0,-0.0,-2.42762889,0.13892299,-2.64708949
1.0,1.158,123.158,mp2,1,O,-3.91120258,-0.0,-0.0,-3.88928983,0.01785715,-4.10123899
1.0,1.158,123.158,mp2,2,O,-4.46437837,-0.0,0.0,-4.38904745,0.00242752,-4.45152964
1.0,1.184,123.158,hf,0,C,-2.39802342,0.0,-0.0,-2.46664575,0.1373664,-2.69517285
1.0,1.184,123.158,hf,1,O,-3.87954212,0.0,-0.0,-3.85654094,0.01809011,-4.07671287
1.0,1.184,123.158,hf,2,O,-4.50822498,-0.0,0.0,-4.40424761,-0.00927293,-4.48510058
1.0,1.184,123.158,mp2,0,C,-2.39802342,0.0,-0.0,-2.46664575,0.1373664,-2.69517285
1.0,1.184,123.158,mp2,1,O,-3.87954212,0.0,-0.0,-3.85654094,0.01809011,-4.07671287
1.0,1.184,123.158,mp2,2,O,-4.50822498,-0.0,0.0,-4.40424761,-0.00927293,-4.48510058
1.0,1.211,123.158,hf,0,C,-2.43968391,0.0,-0.0,-2.50724207,0.13511673,-2.74586323
1.0,1.211,123.158,hf,1,O,-3.84834003,0.0,0.0,-3.82475698,0.01823722,-4.05227269
1.0,1.211,123.158,hf,2,O,-4.55032755,-0.0,0.0,-4.41565326,-0.02170346,-4.51680986
1.0,1.211,123.158,mp2,0,C,-2.43968391,0.0,-0.0,-2.50724207,0.13511673,-2.74586323
1.0,1.211,123.158,mp2,1,O,-3.84834003,0.0,0.0,-3.82475698,0.01823722,-4.05227269
1.0,1.211,123.158,mp2,2,O,-4.55032755,-0.0,0.0,-4.41565326,-0.02170346,-4.51680986
1.0,1.237,123.158,hf,0,C,-2.47989801,0.0,0.0,-2.54666046,0.13239218,-2.79569155
1.0,1.237,123.158,hf,1,O,-3.81980472,0.0,0.0,-3.79613626,0.01829466,-4.02965166
1.0,1.237,123.158,hf,2,O,-4.5872887,0.0,-0.0,-4.42218673,-0.03394454,-4.544124
