r1,r2,ang,level,atom_index,atom,mux,muy,muz
1.0,1.132,120.0,hf,0,C,-0.0,-0.03439696,-0.02203321
1.0,1.132,120.0,hf,1,O,-0.0,0.17974771,0.17865527
1.0,1.132,120.0,hf,2,O,0.0,0.2602711,0.08698626
1.0,1.132,120.0,mp2,0,C,-0.0,-0.03439696,-0.02203321
1.0,1.132,120.0,mp2,1,O,-0.0,0.17974771,0.17865527
1.0,1.132,120.0,mp2,2,O,0.0,0.2602711,0.08698626
1.021,1.132,120.0,hf,0,C,0.0,-0.03602747,-0.02156322
1.021,1.132,120.0,hf,1,O,0.0,0.18074521,0.18097297
1.021,1.132,120.0,hf,2,O,0.0,0.26063392,0.0829671
1.021,1.132,120.0,mp2,0,C,0.0,-0.03602747,-0.02156322
1.021,1.132,120.0,mp2,1,O,0.0,0.18074521,0.18097297
1.021,1.132,120.0,mp2,2,O,0.0,0.26063392,0.0829671
1.0,1.158,120.0,hf,0,C,0.0,-0.03436576,-0.02034431
1.0,1.158,120.0,hf,1,O,0.0,0.17229744,0.18029137
1.0,1.158,120.0,hf,2,O,-0.0,0.26193485,0.08202864
1.0,1.158,120.0,mp2,0,C,0.0,-0.03436576,-0.02034431
1.0,1.158,120.0,mp2,1,O,0.0,0.17229744,0.18029137
1.0,1.158,120.0,mp2,2,O,-0.0,0.26193485,0.08202864
1.0,1.184,120.0,hf,0,C,-0.0,-0.03430561,-0.01792163
1.0,1.184,120.0,hf,1,O,0.0,0.16484326,0.18150109
1.0,1.184,120.0,hf,2,O,-0.0,0.2634512,0.07674574
1.0,1.184,120.0,mp2,0,C,-0.0,-0.03430561,-0.01792163
1.0,1.184,120.0,mp2,1,O,0.0,0.16484326,0.18150109
1.0,1.184,120.0,mp2,2,O,-0.0,0.2634512,0.07674574
1.0,1.211,120.0,hf,0,C,-0.0,-0.0342275,-0.01463394
1.0,1.211,120.0,hf,1,O,-0.0,0.15710334,0.18224132
1.0,1.211,120.0,hf,2,O,-0.0,0.26476928,0.07099169
1.0,1.211,120.0,mp2,0,C,-0.0,-0.0342275,-0.01463394
1.0,1.211,120.0,mp2,1,O,-0.0,0.15710334,0.18224132
1.0,1.211,120.0,mp2,2,O,-0.0,0.26476928,0.07099169
1.0,1.237,120.0,hf,0,C,0.0,-0.03408853,-0.01070484
1.0,1.237,120.0,hf,1,O,-0.0,0.14968071,0.18247565
1.0,1.237,120.0,hf,2,O,-0.0,0.26576632,0.06524498
1.0,1.237,120.0,mp2,0,C,0.0,-0.03408853,-0.01070484
1.0,1.237,120.0,mp2,1,O,-0.0,0.14968071,0.18247565
1.0,1.237,120.0,mp2,2,O,-0.0,0.26576632,0.06524498
1.0,1.263,120.0,hf,0,C,-0.0,-0.03384663,-0.00603184
1.0,1.263,120.0,hf,1,O,0.0,0.14231545,0.18226169
1.0,1.263,120.0,hf,2,O,0.0,0.26645959,0.05933916
1.0,1.263,120.0,mp2,0,C,-0.0,-0.03384663,-0.00603184
1.0,1.263,120.0,mp2,1,O,0.0,0.14231545,0.18226169
1.0,1.263,120.0,mp2,2,O,0.0,0.26645959,0.05933916
1.0,1.289,120.0,hf,0,C,-0.0,-0.03351797,-0.00065356
1.0,1.289,120.0,hf,1,O,-0.0,0.13501495,0.18155839
1.0,1.289,120.0,hf,2,O,-0.0,0.2667507,0.05334459
1.0,1.289,120.0,mp2,0,C,-0.0,-0.03351797,-0.00065356
1.0,1.289,120.0,mp2,1,O,-0.0,0.13501495,0.18155839
1.0,1.289,120.0,mp2,2,O,-0.0,0.2667507,0.05334459
1.0,1.316,120.0,hf,0,C,-0.0,-0.03304737,0.00566
1.0,1.316,120.0,hf,1,O,0.0,0.12753356,0.18034726
1.0,1.316,120.0,hf,2,O,-0.0,0.2666092,0.04707691
1.0,1.316,120.0,mp2,0,C,-0.0,-0.03304737,0.00566
1.0,1.316,120.0,mp2,1,O,0.0,0.12753356,0.18034726
1.0,1.316,120.0,mp2,2,O,-0.0,0.2666092,0.04707691
1.0,1.342,120.0,hf,0,C,0.0,-0.03244218,0.01240944
1.0,1.342,120.0,hf,1,O,-0.0,0.12045637,0.17875698
1.0,1.342,120.0,hf,2,O,0.0,0.26603685,0.04104815
1.0,1.342,120.0,mp2,0,C,0.0,-0.03244218,0.01240944
1.0,1.342,120.0,mp2,1,O,-0.0,0.12045637,0.17875698
1.0,1.342,120.0,mp2,2,O,0.0,0.26603685,0.04104815
1.0,1.368,120.0,hf,0,C,-0.0,-0.03173153,0.01973268
1.0,1.368,120.0,hf,1,O,-0.0,0.11351725,0.17673356
1.0,1.368,120.0,hf,2,O,-0.0,0.26496854,0.03508957
1.0,1.368,120.0,mp2,0,C,-0.0,-0.03173153,0.01973268
1.0,1.368,120.0,mp2,1,O,-0.0,0.11351725,0.17673356
1.0,1.368,120.0,mp2,2,O,-0.0,0.26496854,0.03508957
1.0,1.395,120.0,hf,0,C,-0.0,-0.03087,0.02789
1.0,1.395,120.0,hf,1,O,-0.0,0.10649343,0.17423528
1.0,1.395,120.0,hf,2,O,-0.0,0.26336049,0.02901881
1.0,1.395,120.0,mp2,0,C,-0.0,-0.03087,0.02789
1.0,1.395,120.0,mp2,1,O,-0.0,0.10649343,0.17423528
1.0,1.395,120.0,mp2,2,O,-0.0,0.26336049,0.02901881
1.0,1.421,120.0,hf,0,C,0.0,-0.02994164,0.03620238
1.0,1.421,120.0,hf,1,O,-0.0,0.0999317,0.17148746
1.0,1.421,120.0,hf,2,O,0.0,0.26134144,0.0233327
1.0,1.421,120.0,mp2,0,C,0.0,-0.02994164,0.03620238
1.0,1.421,120.0,mp2,1,O,-0.0,0.0999317,0.17148746
1.0,1.421,120.0,mp2,2,O,0.0,0.26134144,0.0233327
1.0,1.447,120.0,hf,0,C,0.0,-0.02894274,0.0448859
1.0,1.447,120.0,hf,1,O,0.0,0.09359232,0.16844781
1.0,1.447,120.0,hf,2,O,0.0,0.25888018,0.01784719
1.0,1.447,120.0,mp2,0,C,0.0,-0.02894274,0.0448859
1.0,1.447,120.0,mp2,1,O,0.0,0.09359232,0.16844781
1.0,1.447,120.0,mp2,2,O,0.0,0.25888018,0.01784719
1.0,1.474,120.0,hf,0,C,0.0,-0.02784008,0.05422929
1.0,1.474,120.0,hf,1,O,0.0,0.08727141,0.16505071
1.0,1.474,120.0,hf,2,O,0.0,0.25590695,0.01240035
1.0,1.474,120.0,mp2,0,C,0.0,-0.02784008,0.05422929
1.0,1.474,120.0,mp2,1,O,0.0,0.08727141,0.16505071
1.0,1.474,120.0,mp2,2,O,0.0,0.25590695,0.01240035
1.0,1.5,120.0,hf,0,C,0.0,-0.02679098,0.0634317
1.0,1.5,120.0,hf,1,O,-0.0,0.08144452,0.16155851
1.0,1.5,120.0,hf,2,O,0.0,0.25262825,0.00744291
1.0,1.5,120.0,mp2,0,C,0.0,-0.02679098,0.0634317
