r1,r2,ang,level,atom_index,atom,scheme,value
1.0,1.053,120.0,mp2,2,O,CM5,-0.2941001107
1.0,1.053,120.0,mp2,0,C,MBIS,1.2475653876
1.0,1.053,120.0,mp2,1,O,MBIS,-0.5871174055
1.0,1.053,120.0,mp2,2,O,MBIS,-0.6604479821
1.0,1.053,120.0,mp2,0,C,MBIS_raw,1.2475652
1.0,1.053,120.0,mp2,1,O,MBIS_raw,-0.58711775
1.0,1.053,120.0,mp2,2,O,MBIS_raw,-0.66044833
1.021,1.053,120.0,hf,0,C,Hirshfeld,0.422465352
1.021,1.053,120.0,hf,1,O,Hirshfeld,-0.1948390738
1.021,1.053,120.0,hf,2,O,Hirshfeld,-0.2276262782
1.021,1.053,120.0,hf,0,C,VDD,0.4402865138
1.021,1.053,120.0,hf,1,O,VDD,-0.1966305539
1.021,1.053,120.0,hf,2,O,VDD,-0.2436559599
1.021,1.053,120.0,hf,0,C,Becke,0.7368007735
1.021,1.053,120.0,hf,1,O,Becke,-0.342291864
1.021,1.053,120.0,hf,2,O,Becke,-0.3945089095
1.021,1.053,120.0,hf,0,C,ADCH,0.7367766779
1.021,1.053,120.0,hf,1,O,ADCH,-0.3422844657
1.021,1.053,120.0,hf,2,O,ADCH,-0.3944922122
1.021,1.053,120.0,hf,0,C,CHELPG,0.8895065775
1.021,1.053,120.0,hf,1,O,CHELPG,-0.4203478356
1.021,1.053,120.0,hf,2,O,CHELPG,-0.469158742
1.021,1.053,120.0,hf,0,C,MK,0.8119374158
1.021,1.053,120.0,hf,1,O,MK,-0.3805672966
1.021,1.053,120.0,hf,2,O,MK,-0.4313701192
1.021,1.053,120.0,hf,0,C,CM5,0.53744231
1.021,1.053,120.0,hf,1,O,CM5,-0.2546019889
1.021,1.053,120.0,hf,2,O,CM5,-0.2828403211
1.021,1.053,120.0,hf,0,C,MBIS,1.2339015516
1.021,1.053,120.0,hf,1,O,MBIS,-0.5953118537
1.021,1.053,120.0,hf,2,O,MBIS,-0.6385896978
1.021,1.053,120.0,hf,0,C,MBIS_raw,1.23389838
1.021,1.053,120.0,hf,1,O,MBIS_raw,-0.59531758
1.021,1.053,120.0,hf,2,O,MBIS_raw,-0.63859545
1.021,1.053,120.0,mp2,0,C,Hirshfeld,0.422465352
1.021,1.053,120.0,mp2,1,O,Hirshfeld,-0.1948390738
1.021,1.053,120.0,mp2,2,O,Hirshfeld,-0.2276262782
1.021,1.053,120.0,mp2,0,C,VDD,0.4402865138
1.021,1.053,120.0,mp2,1,O,VDD,-0.1966305539
1.021,1.053,120.0,mp2,2,O,VDD,-0.2436559599
1.021,1.053,120.0,mp2,0,C,Becke,0.7368007735
1.021,1.053,120.0,mp2,1,O,Becke,-0.342291864
1.021,1.053,120.0,mp2,2,O,Becke,-0.3945089095
1.021,1.053,120.0,mp2,0,C,ADCH,0.7367766779
1.021,1.053,120.0,mp2,1,O,ADCH,-0.3422844657
1.021,1.053,120.0,mp2,2,O,ADCH,-0.3944922122
1.021,1.053,120.0,mp2,0,C,CHELPG,0.8895065775
1.021,1.053,120.0,mp2,1,O,CHELPG,-0.4203478356
1.021,1.053,120.0,mp2,2,O,CHELPG,-0.469158742
1.021,1.053,120.0,mp2,0,C,MK,0.8119374158
1.021,1.053,120.0,mp2,1,O,MK,-0.3805672966
1.021,1.053,120.0,mp2,2,O,MK,-0.4313701192
1.021,1.053,120.0,mp2,0,C,CM5,0.53744231
1.021,1.053,120.0,mp2,1,O,CM5,-0.2546019889
1.021,1.053,120.0,mp2,2,O,CM5,-0.2828403211
1.021,1.053,120.0,mp2,0,C,MBIS,1.2339015516
1.021,1.053,120.0,mp2,1,O,MBIS,-0.5953118537
1.021,1.053,120.0,mp2,2,O,MBIS,-0.6385896978
1.021,1.053,120.0,mp2,0,C,MBIS_raw,1.23389838
1.021,1.053,120.0,mp2,1,O,MBIS_raw,-0.59531758
1.021,1.053,120.0,mp2,2,O,MBIS_raw,-0.63859545
1.0,1.079,120.0,hf,0,C,Hirshfeld,0.4219484059
1.0,1.079,120.0,hf,1,O,Hirshfeld,-0.1708937029
1.0,1.079,120.0,hf,2,O,Hirshfeld,-0.2510547031
1.0,1.079,120.0,hf,0,C,VDD,0.4355469921
1.0,1.079,120.0,hf,1,O,VDD,-0.1663699313
1.0,1.079,120.0,hf,2,O,VDD,-0.2691770608
1.0,1.079,120.0,hf,0,C,Becke,0.733539929
1.0,1.079,120.0,hf,1,O,Becke,-0.3030817563
1.0,1.079,120.0,hf,2,O,Becke,-0.4304581727
1.0,1.079,120.0,hf,0,C,ADCH,0.7335239608
1.0,1.079,120.0,hf,1,O,ADCH,-0.3031033354
1.0,1.079,120.0,hf,2,O,ADCH,-0.4304206255
1.0,1.079,120.0,hf,0,C,CHELPG,0.8871040437
1.0,1.079,120.0,hf,1,O,CHELPG,-0.3836866558
1.0,1.079,120.0,hf,2,O,CHELPG,-0.5034173879
1.0,1.079,120.0,hf,0,C,MK,0.8073232142
1.0,1.079,120.0,hf,1,O,MK,-0.3413696557
1.0,1.079,120.0,hf,2,O,MK,-0.4659535585
1.0,1.079,120.0,hf,0,C,CM5,0.5366725077
1.0,1.079,120.0,hf,1,O,CM5,-0.2338435692
1.0,1.079,120.0,hf,2,O,CM5,-0.3028289385
1.0,1.079,120.0,hf,0,C,MBIS,1.2273134214
1.0,1.079,120.0,hf,1,O,MBIS,-0.5608552841
1.0,1.079,120.0,hf,2,O,MBIS,-0.6664581373
1.0,1.079,120.0,hf,0,C,MBIS_raw,1.22731256
1.0,1.079,120.0,hf,1,O,MBIS_raw,-0.56085683
1.0,1.079,120.0,hf,2,O,MBIS_raw,-0.6664597
1.0,1.079,120.0,mp2,0,C,Hirshfeld,0.4219484059
1.0,1.079,120.0,mp2,1,O,Hirshfeld,-0.1708937029
